Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Малое предприятие,5038038838,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Пушкино г,,,27,32,347613,334651,798,927,-8789,108966,0,12828,-8794,4039
"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Среднее предприятие,5027006369,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,0,0,1301535,1174472,4150,4248,10148,1565001,0,126965,10148,137113
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Юридическое лицо,Малое предприятие,1414006922,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,93489,91174,0,0,107664,1002486,0,2315,107664,109979
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Юридическое лицо,Малое предприятие,3327332190,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,0,0,148048,112388,0,0,23641,1031417,0,35660,23641,59301
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Юридическое лицо,Малое предприятие,7816061297,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,8223,1556,13961,150979,69747,188843,-2975,116186,6667,0,3692,-252422
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Юридическое лицо,Малое предприятие,3525048992,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Вологда,,0,0,242163,169608,0,0,143652,1838703,0,72555,143652,216207
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Юридическое лицо,Малое предприятие,3101000612,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,Алексеевский р-н,г Алексеевка,,0,0,35553,42356,0,0,-18416,120415,0,0,-18416,-25219
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,5902126804,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,9427,8934,138205,37034,149342,48062,-591,67038,493,202944,-98,202353
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Юридическое лицо,Малое предприятие,523005733,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Магарамкентский р-н,,с Магарамкент,0,0,32080,21081,0,0,2139,56775,0,10999,2139,13138
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Юридическое лицо,Среднее предприятие,7724745755,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,34951,54811,0,0,144768,1129443,0,0,144768,124908
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Юридическое лицо,Малое предприятие,504007693,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Ахтынский р-н,,с Ахты,0,0,30169,32174,0,0,-13,546027,0,0,-13,-2018
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,2901030646,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,г Архангельск,,0,0,5155,6445,0,0,-5465,750704,0,0,-5465,-6755
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Юридическое лицо,Среднее предприятие,7709008852,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,27519,32070,0,0,51573,1152402,0,0,51573,47022
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Юридическое лицо,Среднее предприятие,3811167535,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,0,0,5134,2829,0,0,15781,354342,0,2305,15781,18086
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7810255553,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,19127,23822,0,0,577565,316038,0,0,577565,572870
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Юридическое лицо,Малое предприятие,1011005108,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,Беломорский р-н,г Беломорск,,0,0,17459,19184,2996,3175,-11049,95063,0,0,-11049,-12953
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Юридическое лицо,Малое предприятие,2310111297,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,0,0,435488,135543,464272,490188,-69467,211510,0,274029,-69467,204562
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Юридическое лицо,Малое предприятие,3250057750,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,0,0,64,191,0,0,-802,6646,0,0,-802,-929
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,7703595570,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,26380,23083,0,0,75073,428084,0,3297,75073,78370
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,7743373485,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,942,942,0,0,1218,85156,0,0,1218,1218
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Юридическое лицо,Малое предприятие,3328412522,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,0,0,50322,45436,0,0,103803,593130,0,4886,103803,108689
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Юридическое лицо,Малое предприятие,7728135831,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,98197,157048,0,0,5284,806676,0,0,5284,-53567
