27;32;347 613;334 651;798;927;(8 789);108 966
-;-;1 301 535;1 174 472;4 150;4 248;10 148;1 565 001
-;-;93 489;91 174;-;-;107 664;1 002 486
-;-;148 048;112 388;-;-;23 641;1 031 417
8 223;1 556;13 961;150 979;69 747;188 843;(2 975);116 186
-;-;242 163;169 608;-;-;143 652;1 838 703
-;-;35 553;42 356;-;-;(18 416);120 415
9 427;8 934;138 205;37 034;149 342;48 062;(591);67 038
-;-;32 080;21 081;-;-;2 139;56 775
-;-;34 951;54 811;-;-;144 768;1 129 443
-;-;30 169;32 174;-;-;(13);546 027
-;-;5 155;6 445;-;-;(5 465);750 704
-;-;27 519;32 070;-;-;51 573;1 152 402
-;-;5 134;2 829;-;-;15 781;354 342
-;-;19 127;23 822;-;-;577 565;316 038
-;-;17 459;19 184;2 996;3 175;(11 049);95 063
-;-;435 488;135 543;464 272;490 188;(69 467);211 510
-;-;64;191;-;-;(802);6 646
-;-;26 380;23 083;-;-;75 073;428 084
64;-;0;3 899;-;-;-;-
-;-;942;942;-;-;1 218;85 156
-;-;50 322;45 436;-;-;103 803;593 130
-;-;98 197;157 048;-;-;5 284;806 676
0;-;0;-;8 444;9 348;(3 334);61 417
-;-;12 510;15 373;-;-;(6 038);112 635
-;-;332;382;-;-;11 468;132 133
-;-;0;-;-;-;(6 108);-
-;-;26;30;-;-;(7 003);59 414
-;-;17 929;18 641;1 317;1 457;(1 503);23 332
0;-;11 685;19 819;-;-;73 204;3 724 263
-;-;0;390;-;-;120;2 071
13 035;14 462;30 827;27 841;53 361;62 192;-;55 704
2 341;2 341;0;0;225 136;225 136;(0);226 298
-;-;4 984;17 864;-;-;(18 692);1 353
-;-;12 816;19 251;-;-;43 132;222 337
-;-;4 790;8 841;-;-;(74 396);174 384
-;-;25 890;26 683;-;-;5 311;88 392
-;-;-;-;-;-;7 683;225 684
-;-;139 192;151 252;-;-;(102 622);37 878
3 335;4 795;6 921;6 323;10 453;14 026;(244);8 923
-;-;232;15;-;-;(18 761);1 214 657
450;450;47;267;-;-;(882);18 633
9 204;15 827;71 215;69 967;81 257;86 576;(3 248);162 470
59 515;60 149;232;590;-;-;(7 382);98 207
-;-;7 347;7 728;138;0;;
-;-;29 305;29 280;-;-;(467);41 504
-;-;-;-;-;-;2 507;126 884
45;54;2 251;4 243;-;-;2 352;67 865
-;-;36 228;43 278;-;-;(8 628);79 957
-;-;1 680;1 659;-;-;(7 641);14 316
-;-;1 065;4 411;2 221;417;(22 259);433 034
-;-;112;196;-;-;3 517;52 083
0;-;2 451;3 031;5 313;9 930;(0);9 594
-;-;1 467;8 239;-;-;(9 643);146 575
10;22;0;0;0;0;0;11
1 317;1 028;85 431;81 501;-;-;137 292;1 766 557
-;-;68 775;54 199;-;-;(11 928);1 534 289
-;-;0;406;-;-;30;47 267
-;-;59 178;57 342;67;327;20 559;375 932
-;-;357 186;362 384;-;-;(54 948);16 936
-;-;45 306;75 862;-;-;82 530;1 277 064
-;-;746 599;466 270;-;-;59 496;83 324
-;-;30 594;30 865;-;-;2 017;49 610
-;-;165 452;74 044;-;-;98 736;718 195
-;-;64 113;60 222;-;-;17 991;140 260
-;-;179 011;133 034;306 845;136 286;8 131;121 737
-;-;28 794;17 358;-;-;(9 967);46 626
-;-;3 050;57 579;-;-;5 244;1 047 281
